juice5-399.wav|became the norm or they yeah and now|became the norm or they yeah and now
juice6-49.wav|know I went literally from a fan people about [ __ ] and like expressing you know like a person I was a fan huh so in a way but certain things are different but most of it is what I|know i went literally from a fan people about [ __ ] and like expressing you know like a person i was a fan huh so in a way but certain things are different but most of it is what i
juice21-28.wav|self-explanatory I got this belonged at|self-explanatory i got this belonged at
juice5-312.wav|people that know like whether you lying or not but somebody that's dead can't defend themselves so I made those two songs um just that was like an honest|people that know like whether you lying or not but somebody that's dead can't defend themselves so i made those two songs um just that was like an honest
juice14-44.wav|Marylyn spur oh yeah wow so we were at thank you I appreciate it|marylyn spur oh yeah wow so we were at thank you i appreciate it
juice5-163.wav|the end of the day I got my feet planet artist um so far and I think I really|the end of the day i got my feet planet artist um so far and i think i really
juice5-208.wav|it was time when did you know that was I'm not caught up in my head you know at this time but I got in contact with|it was time when did you know that was i'm not caught up in my head you know at this time but i got in contact with
juice21-45.wav|of course you were much gala self-explanatory fancy yourself just being noticing your|of course you were much gala self-explanatory fancy yourself just being noticing your
juice22-38.wav|me ya know yeah I feel pretty lousy so constantly doing these things um oh no I|me ya know yeah i feel pretty lousy so constantly doing these things um oh no i
juice4-117.wav|degree they don't even do this [ __ ] that they got the degree for and then they work in the office job every day and so they died he isn't a visitor she is a notice or if you were in a relationship|degree they don't even do this [ __ ] that they got the degree for and then they work in the office job every day and so they died he isn't a visitor she is a notice or if you were in a relationship
juice16-108.wav|age probably than anybody things like I'm nice with f1 one's heavy um I'm just a couple different ones I like the UH the ones that I got a couple of samples that didn't come out like|age probably than anybody things like i'm nice with fone one's heavy um i'm just a couple different ones i like the uh the ones that i got a couple of samples that didn't come out like
juice25-155.wav|bright I never really had nothing a high head like would it be not cool to talk about your emotions you know like it was nothing none in my in my conscious in my head telling me not to do that this|bright i never really had nothing a high head like would it be not cool to talk about your emotions you know like it was nothing none in my in my conscious in my head telling me not to do that this
juice28-29.wav|all these kids are really here just people to look deeper into and maybe to teed up because of me you know the songs that they're singing are you know songs that came from me i love you all too|all these kids are really here just people to look deeper into and maybe to teed up because of me you know the songs that they're singing are you know songs that came from me i love you all too
juice8-78.wav|my home's I broke no more playing around you gotta like take this you serious and was everywhere my mom she's been in my then from there is when I just kind of but it's weird because at first I didn't|my home's i broke no more playing around you gotta like take this you serious and was everywhere my mom she's been in my then from there is when i just kind of but it's weird because at first i didn't
juice14-127.wav|that's Oscar Cobain - pot nice three|that's oscar cobain - pot nice three
juice16-10.wav|you were skating in I used to skate DC um really Nike high production like okay like they made sure that I knew about like the Jordan here I know more for my|you were skating in i used to skate dc um really nike high production like okay like they made sure that i knew about like the jordan here i know more for my
juice8-99.wav|yeah that's I feel like it's a it's a the bands that she liked and try to impress her pending at the disco Fall Out Boy black veil brides since this|yeah that's i feel like it's a it's a the bands that she liked and try to impress her pending at the disco fall out boy black veil brides since this
juice14-250.wav|hate to sound lucid dreams yeah you hate pretty much so no I'm sorry not sorry didn't yeah right that's the famous mom|hate to sound lucid dreams yeah you hate pretty much so no i'm sorry not sorry didn't yeah right that's the famous mom
juice6-85.wav|distractions there's certain people that times but like two or three people I [ __ ] with like you know to be in there and that's like no offense to the homies therapy session bro pretty much and uh I|distractions there's certain people that times but like two or three people i [ __ ] with like you know to be in there and that's like no offense to the homies therapy session bro pretty much and uh i
juice25-5.wav|feels great it's a blessing and honestly discipline to you know tomorrow life I know honors your black man in Chicago I teach I know what they instill in the youths minds because the same stuff is|feels great it's a blessing and honestly discipline to you know tomorrow life i know honors your black man in chicago i teach i know what they instill in the youths minds because the same stuff is
juice14-146.wav|telling what I was just telling you yesterday because it's the first time I ever said this I feel like people think a lot of different instruments but I was good and instruments like I could work create beats like I'm good enough to do that but I'm not like no you know I'm|telling what i was just telling you yesterday because it's the first time i ever said this i feel like people think a lot of different instruments but i was good and instruments like i could work create beats like i'm good enough to do that but i'm not like no you know i'm
juice5-44.wav|it's not happening um not fully when I the other day no hmm so now that you got your phone back or I mean yeah yes so it's almost like you|it's not happening um not fully when i the other day no hmm so now that you got your phone back or i mean yeah yes so it's almost like you
juice13-19.wav|influential years I feel like especially for like a boy I find no role models are you what you like a basketball football that's like when you start kind of chosen the dreams you want to chase that|influential years i feel like especially for like a boy i find no role models are you what you like a basketball football that's like when you start kind of chosen the dreams you want to chase that
juice13-14.wav|mean it was something that I was into early low key dude some music cuz like I was a music here so like in sixth grade seventh grade I'm hearing songs about sipping lean those are like the real|mean it was something that i was into early low key dude some music cuz like i was a music here so like in sixth grade seventh grade i'm hearing songs about sipping lean those are like the real
juice5-389.wav|don't I don't understand I wanted a face that one oh yeah 11:10|don't i don't understand i wanted a face that one oh yeah eleven:ten
juice6-266.wav|gots piece of music I'm dropping it's guess I'm about to do like a whole lot everything put together but it's gonna|gots piece of music i'm dropping it's guess i'm about to do like a whole lot everything put together but it's gonna
juice1-688.wav|punching in and then I remember I was like [ __ ] I'll be sick of this syphilis that [ __ ] trippin then I'm gonna get pause I was like we gonna name the song if you out the you clam you knocking|punching in and then i remember i was like [ __ ] i'll be sick of this syphilis that [ __ ] trippin then i'm gonna get pause i was like we gonna name the song if you out the you clam you knocking
juice18-202.wav|I've like tested it out a couple of times but I'm not like good at it I gave up on it though low-key it's just love this question|i've like tested it out a couple of times but i'm not like good at it i gave up on it though low-key it's just love this question
juice5-176.wav|like lyrics and stuff yeah how important on right now yeah I just it's surreal so|like lyrics and stuff yeah how important on right now yeah i just it's surreal so
juice17-93.wav|That my music is like my therapy sessions but there's no confidentiality. I put it out there for people and learn, can grab my hand and walk with me|that my music is like my therapy sessions but there's no confidentiality. i put it out there for people and learn, can grab my hand and walk with me
juice7-253.wav|said after a while he wasn't even pouring codeine with pop he was drinking it straight out the bottle like a drunken ear all so that's when it|said after a while he wasn't even pouring codeine with pop he was drinking it straight out the bottle like a drunken ear all so that's when it
juice18-134.wav|know and that being blocked just by [ __ ] that was going on at the time people passing like just just a whole bunch of different [ __ ] going on the time came|know and that being blocked just by [ __ ] that was going on at the time people passing like just just a whole bunch of different [ __ ] going on the time came
juice5-86.wav|fresh runs like the radio stuff and I'm on tour at the same time I do a concert and then after that I'll be ready to record how old are you feel my my asking|fresh runs like the radio stuff and i'm on tour at the same time i do a concert and then after that i'll be ready to record how old are you feel my my asking
juice1-597.wav|like I don't know if like that's more somebody that's all for you versus somebody I really just want you because uh like a group like a superfan like you|like i don't know if like that's more somebody that's all for you versus somebody i really just want you because uh like a group like a superfan like you
juice5-108.wav|meaning behind it it works out yeah and eventually just I was just thinking about it one day and I just kind of just say like this my music is kind of an because of this or this keeps me going|meaning behind it it works out yeah and eventually just i was just thinking about it one day and i just kind of just say like this my music is kind of an because of this or this keeps me going
juice5-121.wav|know I like the bugs okay even though I'm from Chicago Bulls got a lot of work bandwagon right LeBron is one the best|know i like the bugs okay even though i'm from chicago bulls got a lot of work bandwagon right lebron is one the best
juice1-416.wav|add on to the happiness but they don't equally obviously I mean [ __ ] don't have [ __ ] and be you know saying like I was I wasn't all sad when I had no money like I made the best of my situation|add on to the happiness but they don't equally obviously i mean [ __ ] don't have [ __ ] and be you know saying like i was i wasn't all sad when i had no money like i made the best of my situation
juice22-72.wav|party like my dreams but everything leading out today it was like the funny like that was the funny part yeah juice and I don't just stay up as you stare at|party like my dreams but everything leading out today it was like the funny like that was the funny part yeah juice and i don't just stay up as you stare at
juice18-306.wav|want to get some [ __ ] that people like oh yeah [ __ ] you get this from yeah that I didn't have faith in myself but I swag is low you rockin the Burberry polo|want to get some [ __ ] that people like oh yeah [ __ ] you get this from yeah that i didn't have faith in myself but i swag is low you rockin the burberry polo
juice18-130.wav|haunting you this mmm that's what that lucid dreams I was having sleep paralysis trying to loose a dream you|haunting you this mmm that's what that lucid dreams i was having sleep paralysis trying to loose a dream you
juice5-316.wav|thing I never met people in my life oh you never had Pete no but you still I just people tell me stuff I don't even never met him yeah explain to hang out|thing i never met people in my life oh you never had pete no but you still i just people tell me stuff i don't even never met him yeah explain to hang out
juice11-78.wav|goes huh it's good it's good it was not a friends when they blocked with it front to end up you know being on charts|goes huh it's good it's good it was not a friends when they blocked with it front to end up you know being on charts
juice23-33.wav|problems but it is not the answer to those type of problems for anybody going through anything that they going to know has not changed then like I said I am still the same|problems but it is not the answer to those type of problems for anybody going through anything that they going to know has not changed then like i said i am still the same
juice5-184.wav|lost in there I feel like the everybody starts out like that because everybody know that SoundCloud is huge before when you signed up for it you know what you're getting into and you see all these people blowing up I|lost in there i feel like the everybody starts out like that because everybody know that soundcloud is huge before when you signed up for it you know what you're getting into and you see all these people blowing up i
juice3-166.wav|parent that raised you well and that you know saying I love you like they own you know you know what love feels like you|parent that raised you well and that you know saying i love you like they own you know you know what love feels like you
juice15-17.wav|you know it's a roller coaster what a play drums and my voice I guess all that course I got to mus you know I love that|you know it's a roller coaster what a play drums and my voice i guess all that course i got to mus you know i love that
juice1-746.wav|it everybody saying that it was the government or and at the time to be to be thrown out conspiracy theories my|it everybody saying that it was the government or and at the time to be to be thrown out conspiracy theories my
juice5-301.wav|it and like an honest outlook cuz you know how like when people die people love the claim no flipping in a|it and like an honest outlook cuz you know how like when people die people love the claim no flipping in a
juice5-153.wav|mom religious she religious yeah like extremely religious are not extremely oh yeah I mean we she yeah I want she's spiritual right how does she feel about|mom religious she religious yeah like extremely religious are not extremely oh yeah i mean we she yeah i want she's spiritual right how does she feel about
juice22-56.wav|they look like some artists don't stay yeah man I feel like one thing that was in place for me was made [ __ ] like people will rock when we have you before|they look like some artists don't stay yeah man i feel like one thing that was in place for me was made [ __ ] like people will rock when we have you before
juice5-526.wav|big boy what is it do you have a way cuz I I mean I'm I'm an intelligent person but as far as like school and|big boy what is it do you have a way cuz i i mean i'm i'm an intelligent person but as far as like school and
juice25-140.wav|songs that came from your fans I think you know when you talk about forever|songs that came from your fans i think you know when you talk about forever
juice3-201.wav|I'm saying it kind of drives you crazy could you feel like you shy of these answers but you don't so you just try to think your way into a solution but can't|i'm saying it kind of drives you crazy could you feel like you shy of these answers but you don't so you just try to think your way into a solution but can't
juice5-322.wav|you had a couple like deep conversations talked on the phone a few times um he and I think the positive stuff to say|you had a couple like deep conversations talked on the phone a few times um he and i think the positive stuff to say
juice1-697.wav|[ __ ] now you gonna get got probably go appreciate you you had a number one idea home like that's just coming from Chicago I lost a couple people but it's|[ __ ] now you gonna get got probably go appreciate you you had a number one idea home like that's just coming from chicago i lost a couple people but it's
juice5-427.wav|Instagram I'm pretty active Twitter are I tweet a lot it depends of happiness I feel sort of full we can't come back and do you ever read any of the comments|instagram i'm pretty active twitter are i tweet a lot it depends of happiness i feel sort of full we can't come back and do you ever read any of the comments
juice18-214.wav|said that's like a police code tool for something something like [ __ ] up situation it's like scream what uh-hmm|said that's like a police code tool for something something like [ __ ] up situation it's like scream what uh-hmm
juice17-15.wav|change up, become fake, become phony, become paranoid. you know that come with it. And the way that I cope with it, - I'm still like the same down to earth person.|change up, become fake, become phony, become paranoid. you know that come with it. and the way that i cope with it, - i'm still like the same down to earth person.
juice24-28.wav|impact on the world people have a big impact from the world yeah but I do not think that a single person can just wake up and change the world|impact on the world people have a big impact from the world yeah but i do not think that a single person can just wake up and change the world
juice6-252.wav|I just being in school just wasn't for me and my music and my head wasn't where I thought it should be so it was just like what the [ __ ] do I do and I didn't|i just being in school just wasn't for me and my music and my head wasn't where i thought it should be so it was just like what the [ __ ] do i do and i didn't
juice13-94.wav|dick what that shouldn't be [ __ ] up do bad not sort of foolish it's not like couldn't help out in any way like bring any money or anything like I was just I felt too little and helpless to do|dick what that shouldn't be [ __ ] up do bad not sort of foolish it's not like couldn't help out in any way like bring any money or anything like i was just i felt too little and helpless to do
juice6-24.wav|like you know some people get pushed to high school and it was time like you sports teams and none of that so I'm like no what the [ __ ] am I gonna do after high school like you know and I was just I'd be sitting in my room just|like you know some people get pushed to high school and it was time like you sports teams and none of that so i'm like no what the [ __ ] am i gonna do after high school like you know and i was just i'd be sitting in my room just
juice6-0.wav|yo is juice world you rockin with Luke eliminate shout out cold Bennet takin mean I was going through hella like in the room so it's two or three people I like to have in there all times but|yo is juice world you rockin with luke eliminate shout out cold bennet takin mean i was going through hella like in the room so it's two or three people i like to have in there all times but
juice20-235.wav|[ __ ] it [ __ ] the fame that's that is the best feeling [ __ ] i'm not just here for the gliss|[ __ ] it [ __ ] the fame that's that is the best feeling [ __ ] i'm not just here for the gliss
juice3-113.wav|I got this belonged at this got I love|i got this belonged at this got i love
juice22-9.wav|the ceiling like I try to be productive because if I'm making a good impact somebody's like home to continue doing it and no because I don't do stuff that I don't do like I'm not gonna do|the ceiling like i try to be productive because if i'm making a good impact somebody's like home to continue doing it and no because i don't do stuff that i don't do like i'm not gonna do
juice5-391.wav|it was gay and burn man and it was just a count the people who faced ass away it|it was gay and burn man and it was just a count the people who faced ass away it
juice5-46.wav|off I kind of like took a step back it dreams um actually it was all my producer yeah since it to me already finished right you know I'm listening to|off i kind of like took a step back it dreams um actually it was all my producer yeah since it to me already finished right you know i'm listening to
juice8-292.wav|this [ __ ] and that's it Sal g-money|this [ __ ] and that's it sal g-money
juice1-875.wav|morning I was trying to record and the like 10:00 11:00 in the morning mmm I have recorded down there all night leading up to that you know we got put them and you value them I mean what's a|morning i was trying to record and the like ten:zero eleven:zero in the morning mmm i have recorded down there all night leading up to that you know we got put them and you value them i mean what's a
juice9-17.wav|shout themselves yeah it is|shout themselves yeah it is
juice1-346.wav|enjoyable cuz I should kill your make fun of them for it when they got you know me I mean I feel like the reason why I make that type of music is I just that's just a part of me touching|enjoyable cuz i should kill your make fun of them for it when they got you know me i mean i feel like the reason why i make that type of music is i just that's just a part of me touching
juice13-42.wav|sibling and like 11 12 years old bro you know so you know I ain't know if that was what I was really fun to be doing think the the representation and me and|sibling and like eleven twelve years old bro you know so you know i ain't know if that was what i was really fun to be doing think the the representation and me and
juice28-66.wav|the way that i can before i get up out life is always gonna be a lot of as long as you work hard give it your always remember that i love every single the word can't and try to hold you back|the way that i can before i get up out life is always gonna be a lot of as long as you work hard give it your always remember that i love every single the word can't and try to hold you back
juice4-199.wav|takes some soul-searching Road mm-hmm and then you should really find a whoever the [ __ ] we don't be afraid to find someone last night you could there's a lot of fake [ __ ] out it's|takes some soul-searching road mm-hmm and then you should really find a whoever the [ __ ] we don't be afraid to find someone last night you could there's a lot of fake [ __ ] out it's
juice9-79.wav|know I mean I was going through hella like relationship [ __ ] and I was to a point where I'm not gonna make a bias and statement like you know saying cuz|know i mean i was going through hella like relationship [ __ ] and i was to a point where i'm not gonna make a bias and statement like you know saying cuz
juice18-286.wav|I'm not only rapper I don't got her face tat so really I'm like the rapper with bad [ __ ] on some of y'all faces man I like this is it that it up not at all I don't even want to say it|i'm not only rapper i don't got her face tat so really i'm like the rapper with bad [ __ ] on some of y'all faces man i like this is it that it up not at all i don't even want to say it
juice25-45.wav|yeah one thing that my mom still to me you doing I came up in Andhra black man in Chicago my mom put me in a mentoring program it just has some structure some|yeah one thing that my mom still to me you doing i came up in andhra black man in chicago my mom put me in a mentoring program it just has some structure some
